Google: 64 3  	 Gene:172 1
Google: 104 3  	 Gene:185 1
Google: 105 3  	 Gene:260 2
Google: 107 3  	 Gene:137 2
Google: 109 3  	 Gene:144 1
Google: 104 4  	 Gene:208 2
Google: 105 4  	 Gene:219 2
Google: 131 3  	 Gene:355 1
Google: 65 4  	 Gene:233 2
Google: 221 3  	 Gene:99 4
Google: 258 3  	 Gene:114 4
Google: 235 2  	 Gene:129 3
Google: 268 2  	 Gene:268 1
Google: 83 4  	 Gene:211 3
Google: 114 4  	 Gene:285 3
Google: 248 3  	 Gene:85 4
Google: 93 4  	 Gene:209 2
Google: 119 4  	 Gene:209 2
Google: 195 3  	 Gene:96 4
Google: 75 4  	 Gene:263 3
Google: 75 4  	 Gene:201 3
Google: 68 4  	 Gene:169 3
Google: 133 4  	 Gene:319 2
Google: 264 2  	 Gene:264 1
Google: 188 2  	 Gene:188 1
Google: 211 2  	 Gene:211 1
Google: 238 2  	 Gene:238 1
Google: 167 2  	 Gene:167 1
Google: 115 4  	 Gene:369 2
Google: 111 3  	 Gene:162 2
Google: 30 4  	 Gene:285 2
Google: 47 4  	 Gene:160 3
Google: 96 4  	 Gene:152 3
Google: 64 4  	 Gene:167 3
Google: 145 4  	 Gene:313 3
Google: 200 1  	 Gene:183 3
Google: 198 1  	 Gene:115 4
Google: 158 3  	 Gene:290 1
Google: 104 3  	 Gene:216 1
Google: 101 4  	 Gene:233 1
Google: 136 4  	 Gene:265 3
Google: 215 3  	 Gene:108 4
Google: 119 4  	 Gene:246 3
Google: 103 4  	 Gene:292 1
Google: 211 3  	 Gene:132 4
Google: 178 3  	 Gene:92 4
Google: 67 4  	 Gene:278 3
Google: 173 3  	 Gene:73 4
Google: 200 3  	 Gene:104 4
Google: 101 4  	 Gene:186 3
Google: 196 2  	 Gene:196 1
Google: 131 4  	 Gene:240 3
Google: 138 4  	 Gene:297 3
Google: 307 1  	 Gene:157 3
Google: 283 1  	 Gene:283 2
Google: 65 4  	 Gene:197 3
Google: 198 3  	 Gene:330 1
Google: 123 4  	 Gene:289 2
Google: 212 3  	 Gene:305 1
Google: 131 3  	 Gene:243 2
Google: 216 1  	 Gene:138 4
Google: 205 3  	 Gene:121 4
Google: 188 3  	 Gene:216 2
Google: 191 3  	 Gene:154 4
Google: 344 2  	 Gene:124 3
Google: 153 1  	 Gene:153 2
Google: 189 3  	 Gene:262 2
Google: 208 1  	 Gene:174 3
Google: 310 3  	 Gene:371 2
Google: 142 3  	 Gene:280 1
Google: 174 2  	 Gene:141 3
Google: 173 1  	 Gene:173 2
Google: 145 2  	 Gene:145 1
Google: 161 1  	 Gene:66 4
Google: 151 1  	 Gene:151 2
